Brand,Name,Type,Scent,Longevity,Rating calc,Comments
Amouage,Jubilation XXV,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Amouage,Memoir Man,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Amouage,Interlude 53 Man,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌕,🔵  10 / 9,"Very similar to the regular Interlude, but less intrusive"
Amouage,Honour Man,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Amouage,Enclave,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Amouage,Dia Man,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Amouage,Boundless,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Claudio Zucca,Mineral Wood,Parfum,🌕🌕🌕🌑🌑,🌕🌕🌗🌑🌑,🟤  10 / 5.5,
Creed,Viking,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Creed,Royal Oud,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Creed,Original Santal,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Creed,Aventus,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,Overhyped; solid scent with mid performance at a huge cost
Essential Parfums,Bois Impérial,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Essential Parfums,Bois Impérial Extrait,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌑,🟣  10 / 8,
Geo. F. Trumper,Eucris,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Geo. F. Trumper,Havana,Eau de Toilette,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Goldfield & Banks Australia,Silky Woods Elixir,Elixir,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Histoires de Parfums,Irrévérent,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌗,🟣  10 / 8.5,
Histoires de Parfums,1899 Hemingway,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,
Histoires de Parfums,1740 Marquis de Sade,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌕🌑,🟡  10 / 6,
Histoires de Parfums,1725 Casanova,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Histoires de Parfums,1828 Jules Verne,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Initio,Rehab,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌗,🔵  10 / 9,
Initio,Paragon,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌗,🔵  10 / 9,"Creamy-fruity-woody-spicy scent, good performance; however, its quite expensive."
Initio,Oud for Happiness,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Initio,Oud For Greatness,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
Initio,Oud For Greatness NEO,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Initio,Mystic Experience,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Initio,Blessed Baraka,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,
Loumari,Noble Cavale,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Majouri,The One and Only,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Majouri,Signature,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Majouri,Blue Desert,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Majouri,One of a Kind,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Marc-Antoine Barrois,B683,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌗🌑,🟡  10 / 6.5,
Marc-Antoine Barrois,Ganymede,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌑,🟣  10 / 8,
Marc-Antoine Barrois,B683 Extrait,Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌕🌑,🟡  10 / 6.5,
Marc-Antoine Barrois,Ganymede Extrait,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌗,🟣  10 / 8.5,
MDCI Parfums,Invasion Barbare,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
Memo Paris,Irish Leather,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Memo Paris,Iberian Leather,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌕🌑,🟡  10 / 6,
Memo Paris,Russian Leather,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Memoirs Of A Perfume Collector,Origins of the Collector,Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌕🌕,🟣  10 / 8,
Memoirs Of A Perfume Collector,Beyond the Pashtun Summit,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
